ID,Type,Gender,TotalStats,SpecialStats,Star,SpecialStar,Parts
33,basic,Male,"35,36,34,33,32","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_0,B_Bot_7,B_Top_2,B_Head_Skin_Yellow,B_Face_13,B_Hair_7,B_Face_Acc_0"
34,basic,Female,"25,26,29,26,25","0,0,0,0,0",1,0,"G_Hair_Long_5,G_Body_Skin_White,G_Shoes_6,G_Bot_1,G_Top_3,G_Head_Skin_White,G_Face_6,G_Hair_5"
35,basic,Male,"38,40,36,37,36","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_5,B_Bot_7,B_Top_6,B_Head_Skin_Black,B_Face_11,B_Hair_7,B_Face_Acc_1"
36,basic,Male,"34,28,28,26,31","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_1,B_Bot_7,B_Top_8,B_Head_Skin_White,B_Face_5,B_Hair_5,B_Face_Acc_1"
37,basic,Female,"38,37,35,38,36","0,0,0,0,0",1,0,"G_Hair_Long_0,G_Body_Skin_White,G_Shoes_1,G_Bot_6,G_Top_6,G_Head_Skin_White,G_Face_9,G_Hair_0,G_Face_Acc_0"
38,basic,Male,"36,37,37,38,34","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_5,B_Bot_2,B_Top_2,B_Head_Skin_Black,B_Face_14,B_Hair_10"
39,basic,Female,"36,39,41,39,35","0,0,0,0,0",1,0,"G_Hair_Long_4,G_Body_Skin_Black,G_Shoes_4,G_Bot_7,G_Top_7,G_Head_Skin_Black,G_Face_12,G_Hair_4,G_Face_Acc_1"
40,basic,Female,"24,24,22,28,24","0,0,0,0,0",1,0,"G_Hair_Long_11,G_Body_Skin_White,G_Shoes_3,G_Bot_2,G_Top_0,G_Head_Skin_White,G_Face_9,G_Hair_11"
41,basic,Female,"36,38,32,34,34","0,0,0,0,0",1,0,"G_Hair_Long_4,G_Body_Skin_Yellow,G_Shoes_6,G_Bot_1,G_Top_5,G_Head_Skin_Yellow,G_Face_18,G_Hair_4"
42,basic,Male,"29,25,25,24,28","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_1,B_Bot_0,B_Top_1,B_Head_Skin_White,B_Face_6,B_Hair_5"
43,basic,Male,"37,33,33,31,35","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_9,B_Bot_8,B_Top_7,B_Head_Skin_White,B_Face_12,B_Hair_5,B_Face_Acc_2"
44,basic,Female,"44,44,41,39,42","0,0,0,0,0",2,0,"G_Hair_Long_10,G_Body_Skin_Yellow,G_Shoes_3,G_Bot_1,G_Top_8,G_Head_Skin_Yellow,G_Face_0,G_Hair_10"
45,basic,Female,"31,32,30,32,32","0,0,0,0,0",1,0,"G_Hair_Long_7,G_Body_Skin_Black,G_Shoes_9,G_Bot_0,G_Top_5,G_Head_Skin_Black,G_Face_10,G_Hair_7,G_Face_Acc_2"
46,basic,Male,"34,30,32,29,30","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_1,B_Bot_8,B_Top_8,B_Head_Skin_Yellow,B_Face_11,B_Hair_2,B_Face_Acc_1"
47,basic,Male,"32,33,25,29,31","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_5,B_Bot_7,B_Top_9,B_Head_Skin_White,B_Face_1,B_Hair_3"
48,basic,Male,"26,26,24,24,24","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_0,B_Bot_1,B_Top_7,B_Head_Skin_Yellow,B_Face_5,B_Hair_2,B_Face_Acc_0"
49,basic,Male,"30,31,24,25,31","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_5,B_Bot_1,B_Top_3,B_Head_Skin_White,B_Face_6,B_Hair_3"
50,basic,Female,"37,36,41,38,41","0,0,0,0,0",1,0,"G_Hair_Long_5,G_Body_Skin_White,G_Shoes_4,G_Bot_9,G_Top_3,G_Head_Skin_White,G_Face_7,G_Hair_5,G_Face_Acc_0"
51,basic,Female,"52,48,50,52,48","0,0,0,0,0",3,0,"G_Hair_Long_4,G_Body_Skin_White,G_Shoes_7,G_Bot_1,G_Top_5,G_Head_Skin_White,G_Face_21,G_Hair_4,G_Face_Acc_1"
52,basic,Female,"45,43,42,44,46","0,0,0,0,0",2,0,"G_Hair_Long_12,G_Body_Skin_Black,G_Shoes_0,G_Bot_5,G_Top_4,G_Head_Skin_Black,G_Face_16,G_Hair_12,G_Face_Acc_0"
53,basic,Female,"34,36,34,33,30","0,0,0,0,0",1,0,"G_Hair_Long_1,G_Body_Skin_Black,G_Shoes_3,G_Bot_7,G_Top_0,G_Head_Skin_Black,G_Face_17,G_Hair_1,G_Face_Acc_2"
54,basic,Female,"32,33,33,33,30","0,0,0,0,0",1,0,"G_Hair_Long_3,G_Body_Skin_White,G_Shoes_4,G_Bot_7,G_Top_6,G_Head_Skin_White,G_Face_8,G_Hair_3"
55,basic,Male,"26,30,24,29,30","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_8,B_Bot_5,B_Top_9,B_Head_Skin_White,B_Face_0,B_Hair_3"
56,basic,Female,"24,27,27,26,25","0,0,0,0,0",1,0,"G_Hair_Long_7,G_Body_Skin_Black,G_Shoes_3,G_Bot_5,G_Top_9,G_Head_Skin_Black,G_Face_3,G_Hair_7"
57,basic,Male,"25,32,25,28,25","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_0,B_Bot_2,B_Top_3,B_Head_Skin_Black,B_Face_6,B_Hair_0,B_Face_Acc_1"
58,basic,Male,"48,51,47,48,47","0,0,0,0,0",3,0,"B_Body_Skin_Yellow,B_Shoes_8,B_Bot_7,B_Top_1,B_Head_Skin_Yellow,B_Face_0,B_Hair_4,B_Face_Acc_1"
59,basic,Female,"43,45,40,41,45","0,0,0,0,0",2,0,"G_Hair_Long_8,G_Body_Skin_Yellow,G_Shoes_6,G_Bot_8,G_Top_3,G_Head_Skin_Yellow,G_Face_20,G_Hair_8,G_Face_Acc_2"
60,basic,Male,"42,37,40,37,37","0,0,0,0,0",2,0,"B_Body_Skin_Yellow,B_Shoes_1,B_Bot_7,B_Top_2,B_Head_Skin_Yellow,B_Face_2,B_Hair_8,B_Face_Acc_0"
61,basic,Male,"29,29,23,25,26","0,0,0,0,0",1,0,"B_Body_Skin_White,B_Shoes_5,B_Bot_7,B_Top_7,B_Head_Skin_White,B_Face_1,B_Hair_7"
62,basic,Female,"43,40,41,41,42","0,0,0,0,0",2,0,"G_Hair_Long_9,G_Body_Skin_White,G_Shoes_7,G_Bot_6,G_Top_5,G_Head_Skin_White,G_Face_15,G_Hair_9"
63,basic,Male,"33,40,38,38,37","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_8,B_Bot_2,B_Top_0,B_Head_Skin_Black,B_Face_9,B_Hair_3,B_Face_Acc_2"
64,basic,Male,"45,49,48,47,47","0,0,0,0,0",3,0,"B_Body_Skin_White,B_Shoes_9,B_Bot_8,B_Top_1,B_Head_Skin_White,B_Face_13,B_Hair_2,B_Face_Acc_3"
65,basic,Female,"39,40,41,39,42","0,0,0,0,0",1,0,"G_Hair_Long_0,G_Body_Skin_White,G_Shoes_4,G_Bot_9,G_Top_1,G_Head_Skin_White,G_Face_4,G_Hair_0,G_Face_Acc_1"
66,basic,Female,"27,30,29,27,28","0,0,0,0,0",1,0,"G_Hair_Long_2,G_Body_Skin_Black,G_Shoes_2,G_Bot_0,G_Top_2,G_Head_Skin_Black,G_Face_9,G_Hair_2,G_Face_Acc_0"
67,basic,Male,"33,27,30,32,32","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_6,B_Bot_1,B_Top_8,B_Head_Skin_Black,B_Face_4,B_Hair_5,B_Face_Acc_0"
68,basic,Male,"37,38,33,32,35","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_1,B_Bot_7,B_Top_6,B_Head_Skin_Yellow,B_Face_6,B_Hair_3,B_Face_Acc_0"
69,basic,Male,"40,41,39,42,37","0,0,0,0,0",2,0,"B_Body_Skin_Yellow,B_Shoes_3,B_Bot_2,B_Top_6,B_Head_Skin_Yellow,B_Face_13,B_Hair_5,B_Face_Acc_3"
70,basic,Female,"36,42,34,37,41","0,0,0,0,0",2,0,"G_Hair_Long_3,G_Body_Skin_Yellow,G_Shoes_9,G_Bot_5,G_Top_9,G_Head_Skin_Yellow,G_Face_18,G_Hair_3"
71,basic,Male,"41,41,40,39,37","0,0,0,0,0",2,0,"B_Body_Skin_Yellow,B_Shoes_0,B_Bot_7,B_Top_2,B_Head_Skin_Yellow,B_Face_13,B_Hair_9,B_Face_Acc_0"
72,basic,Male,"26,24,18,23,26","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_0,B_Bot_0,B_Top_9,B_Head_Skin_Yellow,B_Face_12,B_Hair_3"
73,basic,Male,"41,42,37,36,37","0,0,0,0,0",2,0,"B_Body_Skin_Yellow,B_Shoes_0,B_Bot_7,B_Top_5,B_Head_Skin_Yellow,B_Face_6,B_Hair_1,B_Face_Acc_0"
74,basic,Female,"39,37,38,36,38","0,0,0,0,0",1,0,"G_Hair_Long_9,G_Body_Skin_Yellow,G_Shoes_6,G_Bot_7,G_Top_1,G_Head_Skin_Yellow,G_Face_21,G_Hair_9,G_Face_Acc_0"
75,basic,Female,"23,25,26,25,25","0,0,0,0,0",1,0,"G_Hair_Long_2,G_Body_Skin_Black,G_Shoes_4,G_Bot_2,G_Top_7,G_Head_Skin_Black,G_Face_16,G_Hair_2"
76,basic,Female,"54,53,57,57,54","0,0,0,0,0",4,0,"G_Hair_Long_4,G_Body_Skin_White,G_Shoes_4,G_Bot_4,G_Top_5,G_Head_Skin_White,G_Face_11,G_Hair_4,G_Face_Acc_1"
77,basic,Male,"25,30,28,30,27","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_3,B_Bot_8,B_Top_0,B_Head_Skin_Black,B_Face_0,B_Hair_5,B_Face_Acc_0"
78,basic,Female,"38,40,36,38,39","0,0,0,0,0",1,0,"G_Hair_Long_3,G_Body_Skin_White,G_Shoes_3,G_Bot_5,G_Top_6,G_Head_Skin_White,G_Face_1,G_Hair_3,G_Face_Acc_3"
79,basic,Male,"41,43,42,44,42","0,0,0,0,0",2,0,"B_Body_Skin_Black,B_Shoes_3,B_Bot_3,B_Top_0,B_Head_Skin_Black,B_Face_10,B_Hair_8,B_Face_Acc_0"
80,basic,Female,"42,41,39,40,41","0,0,0,0,0",2,0,"G_Hair_Long_3,G_Body_Skin_Yellow,G_Shoes_2,G_Bot_5,G_Top_5,G_Head_Skin_Yellow,G_Face_0,G_Hair_3,G_Face_Acc_0"
81,basic,Male,"30,32,29,29,30","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_9,B_Bot_8,B_Top_6,B_Head_Skin_Yellow,B_Face_13,B_Hair_7"
82,basic,Male,"31,33,30,33,28","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_0,B_Bot_7,B_Top_6,B_Head_Skin_Black,B_Face_13,B_Hair_6"
83,basic,Female,"22,21,23,19,19","0,0,0,0,0",1,0,"G_Hair_Long_5,G_Body_Skin_Black,G_Shoes_1,G_Bot_1,G_Top_5,G_Head_Skin_Black,G_Face_10,G_Hair_5"
84,basic,Male,"23,20,20,21,20","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_1,B_Bot_0,B_Top_0,B_Head_Skin_Yellow,B_Face_10,B_Hair_11"
85,basic,Female,"46,50,43,45,49","0,0,0,0,0",3,0,"G_Hair_Long_0,G_Body_Skin_Yellow,G_Shoes_7,G_Bot_6,G_Top_7,G_Head_Skin_Yellow,G_Face_4,G_Hair_0,G_Face_Acc_3"
86,basic,Male,"34,35,31,31,29","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_0,B_Bot_4,B_Top_6,B_Head_Skin_Yellow,B_Face_3,B_Hair_0,B_Face_Acc_0"
87,basic,Female,"34,41,37,36,38","0,0,0,0,0",1,0,"G_Hair_Long_13,G_Body_Skin_Black,G_Shoes_6,G_Bot_2,G_Top_1,G_Head_Skin_Black,G_Face_17,G_Hair_13,G_Face_Acc_3"
88,basic,Female,"45,42,44,41,44","0,0,0,0,0",2,0,"G_Hair_Long_13,G_Body_Skin_Black,G_Shoes_2,G_Bot_4,G_Top_5,G_Head_Skin_Black,G_Face_0,G_Hair_13,G_Face_Acc_3"
89,basic,Male,"32,31,34,33,32","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_1,B_Bot_0,B_Top_1,B_Head_Skin_Black,B_Face_4,B_Hair_2,B_Face_Acc_0"
90,basic,Male,"35,35,33,33,34","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_3,B_Bot_4,B_Top_3,B_Head_Skin_Black,B_Face_5,B_Hair_6,B_Face_Acc_2"
91,basic,Male,"35,33,31,34,32","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_3,B_Bot_1,B_Top_3,B_Head_Skin_Yellow,B_Face_0,B_Hair_1,B_Face_Acc_0"
92,basic,Female,"58,59,55,55,57","0,0,0,0,0",4,0,"G_Hair_Long_9,G_Body_Skin_Yellow,G_Shoes_8,G_Bot_3,G_Top_5,G_Head_Skin_Yellow,G_Face_21,G_Hair_9,G_Face_Acc_2"
93,basic,Female,"26,29,30,28,27","0,0,0,0,0",1,0,"G_Hair_Long_5,G_Body_Skin_Black,G_Shoes_7,G_Bot_7,G_Top_7,G_Head_Skin_Black,G_Face_18,G_Hair_5"
94,basic,Male,"47,49,47,49,47","0,0,0,0,0",3,0,"B_Body_Skin_Black,B_Shoes_5,B_Bot_7,B_Top_8,B_Head_Skin_Black,B_Face_13,B_Hair_9,B_Face_Acc_3"
95,basic,Female,"38,36,37,37,34","0,0,0,0,0",1,0,"G_Hair_Long_7,G_Body_Skin_Black,G_Shoes_0,G_Bot_1,G_Top_5,G_Head_Skin_Black,G_Face_7,G_Hair_7,G_Face_Acc_0"
96,basic,Female,"33,35,26,31,31","0,0,0,0,0",1,0,"G_Hair_Long_11,G_Body_Skin_Yellow,G_Shoes_1,G_Bot_2,G_Top_0,G_Head_Skin_Yellow,G_Face_14,G_Hair_11,G_Face_Acc_2"
97,special,Female,"24,25,24,27,27","119,143,102,131,134",1,6,"G_Hair_Long_5,G_Body_Skin_Yellow,G_Shoes_7,G_Bot_2,G_Top_7,G_Head_Skin_Yellow,G_Face_16,G_Hair_5,S_69"
98,basic,Male,"46,47,39,39,45","0,0,0,0,0",2,0,"B_Body_Skin_Yellow,B_Shoes_3,B_Bot_6,B_Top_5,B_Head_Skin_Yellow,B_Face_5,B_Hair_3,B_Face_Acc_1"
99,basic,Male,"44,39,37,43,42","0,0,0,0,0",2,0,"B_Body_Skin_Black,B_Shoes_6,B_Bot_0,B_Top_1,B_Head_Skin_Black,B_Face_12,B_Hair_6,B_Face_Acc_1"
100,basic,Male,"41,42,41,39,40","0,0,0,0,0",2,0,"B_Body_Skin_Black,B_Shoes_9,B_Bot_6,B_Top_7,B_Head_Skin_Black,B_Face_7,B_Hair_2,B_Face_Acc_1"
101,basic,Male,"29,25,27,24,31","0,0,0,0,0",1,0,"B_Body_Skin_Yellow,B_Shoes_4,B_Bot_0,B_Top_8,B_Head_Skin_Yellow,B_Face_6,B_Hair_5,B_Face_Acc_0"
102,basic,Female,"39,38,42,36,38","0,0,0,0,0",1,0,"G_Hair_Long_14,G_Body_Skin_Yellow,G_Shoes_8,G_Bot_7,G_Top_1,G_Head_Skin_Yellow,G_Face_12,G_Hair_14,G_Face_Acc_1"
103,basic,Male,"31,24,26,28,30","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_9,B_Bot_1,B_Top_8,B_Head_Skin_Black,B_Face_11,B_Hair_6,B_Face_Acc_1"
104,basic,Female,"38,38,32,36,36","0,0,0,0,0",1,0,"G_Hair_Long_2,G_Body_Skin_Yellow,G_Shoes_0,G_Bot_2,G_Top_0,G_Head_Skin_Yellow,G_Face_13,G_Hair_2,G_Face_Acc_2"
105,basic,Male,"46,44,41,47,46","0,0,0,0,0",2,0,"B_Body_Skin_Yellow,B_Shoes_6,B_Bot_4,B_Top_0,B_Head_Skin_Yellow,B_Face_12,B_Hair_7,B_Face_Acc_3"
106,basic,Female,"31,33,26,33,30","0,0,0,0,0",1,0,"G_Hair_Long_3,G_Body_Skin_Yellow,G_Shoes_7,G_Bot_8,G_Top_6,G_Head_Skin_Yellow,G_Face_9,G_Hair_3"
107,basic,Female,"30,33,28,26,33","0,0,0,0,0",1,0,"G_Hair_Long_2,G_Body_Skin_Yellow,G_Shoes_3,G_Bot_5,G_Top_2,G_Head_Skin_Yellow,G_Face_4,G_Hair_2,G_Face_Acc_3"
108,basic,Male,"36,34,33,35,33","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_0,B_Bot_0,B_Top_2,B_Head_Skin_Black,B_Face_11,B_Hair_1,B_Face_Acc_1"
109,basic,Female,"32,32,34,34,34","0,0,0,0,0",1,0,"G_Hair_Long_5,G_Body_Skin_White,G_Shoes_4,G_Bot_0,G_Top_6,G_Head_Skin_White,G_Face_13,G_Hair_5,G_Face_Acc_1"
110,basic,Female,"44,47,42,44,44","0,0,0,0,0",2,0,"G_Hair_Long_14,G_Body_Skin_Black,G_Shoes_7,G_Bot_0,G_Top_6,G_Head_Skin_Black,G_Face_20,G_Hair_14,G_Face_Acc_1"
111,basic,Male,"43,42,37,40,41","0,0,0,0,0",2,0,"B_Body_Skin_Yellow,B_Shoes_5,B_Bot_0,B_Top_9,B_Head_Skin_Yellow,B_Face_9,B_Hair_8,B_Face_Acc_1"
112,basic,Female,"33,29,35,29,30","0,0,0,0,0",1,0,"G_Hair_Long_5,G_Body_Skin_White,G_Shoes_9,G_Bot_1,G_Top_1,G_Head_Skin_White,G_Face_21,G_Hair_5,G_Face_Acc_0"
113,basic,Female,"42,45,41,39,43","0,0,0,0,0",2,0,"G_Hair_Long_6,G_Body_Skin_White,G_Shoes_0,G_Bot_2,G_Top_1,G_Head_Skin_White,G_Face_17,G_Hair_6,G_Face_Acc_2"
114,basic,Female,"19,16,21,15,17","0,0,0,0,0",1,0,"G_Hair_Long_5,G_Body_Skin_White,G_Shoes_9,G_Bot_1,G_Top_1,G_Head_Skin_White,G_Face_1,G_Hair_5"
115,basic,Female,"34,39,36,41,38","0,0,0,0,0",1,0,"G_Hair_Long_6,G_Body_Skin_White,G_Shoes_6,G_Bot_2,G_Top_0,G_Head_Skin_White,G_Face_9,G_Hair_6,G_Face_Acc_1"
116,basic,Male,"40,43,39,40,41","0,0,0,0,0",2,0,"B_Body_Skin_Black,B_Shoes_5,B_Bot_7,B_Top_1,B_Head_Skin_Black,B_Face_6,B_Hair_8"
117,basic,Female,"33,38,36,31,30","0,0,0,0,0",1,0,"G_Hair_Long_7,G_Body_Skin_Black,G_Shoes_2,G_Bot_1,G_Top_7,G_Head_Skin_Black,G_Face_17,G_Hair_7,G_Face_Acc_3"
118,basic,Female,"28,30,30,28,32","0,0,0,0,0",1,0,"G_Hair_Long_5,G_Body_Skin_White,G_Shoes_6,G_Bot_5,G_Top_9,G_Head_Skin_White,G_Face_4,G_Hair_5"
119,basic,Female,"39,41,38,42,41","0,0,0,0,0",2,0,"G_Hair_Long_7,G_Body_Skin_White,G_Shoes_0,G_Bot_0,G_Top_7,G_Head_Skin_White,G_Face_2,G_Hair_7,G_Face_Acc_1"
120,basic,Male,"57,48,47,52,49","0,0,0,0,0",4,0,"B_Body_Skin_White,B_Shoes_1,B_Bot_4,B_Top_4,B_Head_Skin_White,B_Face_12,B_Hair_1,B_Face_Acc_1"
121,basic,Female,"31,28,30,30,32","0,0,0,0,0",1,0,"G_Hair_Long_2,G_Body_Skin_White,G_Shoes_6,G_Bot_9,G_Top_5,G_Head_Skin_White,G_Face_10,G_Hair_2"
122,basic,Female,"41,46,37,40,43","0,0,0,0,0",2,0,"G_Hair_Long_4,G_Body_Skin_Yellow,G_Shoes_7,G_Bot_5,G_Top_2,G_Head_Skin_Yellow,G_Face_14,G_Hair_4,G_Face_Acc_3"
123,basic,Male,"33,29,32,33,29","0,0,0,0,0",1,0,"B_Body_Skin_Black,B_Shoes_1,B_Bot_1,B_Top_7,B_Head_Skin_Black,B_Face_2,B_Hair_1,B_Face_Acc_0"
